time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/loss,train/std,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/n_updates
1,0,20446,12288,,,,,,,,,,,
2,2,8271,24576,-2.848607176542282,0.0119140625,-0.0036948751658201218,1.009911298751831,-0.2098633050918579,-0.0009292627570782012,0.0023863788,0.0003,0.2,0.3076645606973519,10
3,5,6894,36864,-2.8596227278312045,0.0624267578125,-0.025662919506430626,1.0130678415298462,0.1706066131591797,-0.0031544038097005493,0.008157006,0.0003,0.2,0.02081081581612428,20
4,7,6389,49152,-2.8818550502260525,0.0981689453125,-0.029547160491347313,1.0291872024536133,0.8128194212913513,-0.0038074486947152764,0.012547289,0.0003,0.2,0.015642399810409793,30
5,10,6052,61440,-2.913041215141614,0.07540690104166667,-0.026977792382240295,1.0465868711471558,0.8567169308662415,-0.003352800972061232,0.0071880836,0.0003,0.2,0.014848322169079135,40
6,12,5808,73728,-2.934591000278791,0.0711181640625,-0.02995780110359192,1.055090308189392,0.9045466184616089,-0.00367782139389116,0.0072505716,0.0003,0.2,0.018612219903540488,50
7,18,4588,86016,-2.9645425776640573,0.10398763020833333,-0.03659435734152794,1.0794247388839722,0.9136669039726257,-0.00644366199170084,0.011093543,0.0003,0.2,0.01955187346902676,60
8,25,3864,98304,-3.010620491703351,0.08379720052083334,-0.029558610171079636,1.107269525527954,0.9352638125419617,-0.0046318076012539676,0.007920483,0.0003,0.2,0.022284652069599058,70
9,31,3503,110592,-3.039826053380966,0.07771809895833333,-0.026163898408412933,1.1149723529815674,0.9247385859489441,-0.004134017574445655,0.006461674,0.0003,0.2,0.0314715615978154,80
10,37,3261,122880,-3.0536216884851455,0.09197591145833334,-0.022782955318689346,1.117335319519043,0.9049832820892334,-0.004444705978918743,0.0065900874,0.0003,0.2,0.036459239040656635,90
11,41,3283,135168,-3.0571130141615868,0.09244791666666667,-0.017396599054336548,1.122687816619873,0.9397585988044739,-0.0053538362233666705,0.00797055,0.0003,0.2,0.02218566818240409,100
12,43,3361,147456,-3.0647001286347706,0.11204427083333333,-0.023645693436264992,1.1265792846679688,0.9461502432823181,-0.007021799994981847,0.008273329,0.0003,0.2,0.022365836154979963,110
13,46,3440,159744,-3.081015677253405,0.10745442708333333,-0.017525531351566315,1.1364006996154785,0.9451817274093628,-0.006075226872053463,0.0078036063,0.0003,0.2,0.026196401639996716,120
14,49,3507,172032,-3.104646548628807,0.12587076822916668,-0.028927519917488098,1.1521075963974,0.9419534206390381,-0.006153608857130166,0.010098898,0.0003,0.2,0.029093881649896503,130
15,51,3566,184320,-3.1164373089869817,0.11844075520833333,-0.02302212081849575,1.1527466773986816,0.9171209931373596,-0.006689859740921141,0.009740408,0.0003,0.2,0.038148420435997345,140
16,54,3610,196608,-3.1200050483147304,0.1252685546875,-0.015177300199866295,1.1550843715667725,0.9061034321784973,-0.005877027058644065,0.009534244,0.0003,0.2,0.043561490982150036,150
17,57,3660,208896,-3.1151715954144796,0.153515625,-0.028321418911218643,1.1477173566818237,0.9110704660415649,-0.008263924581115134,0.01078526,0.0003,0.2,0.023787326520929734,160
18,59,3695,221184,-3.1088930318752923,0.14654947916666666,-0.04158010706305504,1.1446983814239502,0.9473329782485962,-0.010015692214316611,0.01014679,0.0003,0.2,0.019270343525568022,170
19,62,3725,233472,-3.107825561364492,0.14117838541666666,-0.044650688767433167,1.147835612297058,0.9662299752235413,-0.011357981206674594,0.010402506,0.0003,0.2,0.01535630516979533,180
20,65,3759,245760,-3.109467781086763,0.15885416666666666,-0.03397290036082268,1.1444087028503418,0.9640882015228271,-0.013009742598417992,0.011586039,0.0003,0.2,0.017250320819827417,190
21,68,3791,258048,-3.108241372803847,0.16416829427083332,-0.04083239287137985,1.1452198028564453,0.9663946628570557,-0.013134709994483273,0.01074262,0.0003,0.2,0.01607832465476046,200
22,70,3822,270336,-3.1034871781865756,0.20087890625,-0.03840199112892151,1.1393377780914307,0.9713661670684814,-0.016127449210034683,0.012527887,0.0003,0.2,0.013493569598843654,210
23,73,3840,282624,-3.0936659346024196,0.19566243489583332,-0.05019252747297287,1.1358225345611572,0.9722282886505127,-0.015936933491320814,0.014075108,0.0003,0.2,0.015490604712006946,220
24,79,3698,294912,-3.0897469257315,0.19671223958333334,-0.03868744522333145,1.132102131843567,0.9698613882064819,-0.015118506424187217,0.01563912,0.0003,0.2,0.016765837200606863,230
25,85,3576,307200,-3.0782076458136243,0.174609375,-0.0319330170750618,1.1251870393753052,0.9646049737930298,-0.011555098164535593,0.013785216,0.0003,0.2,0.016299159983949114,240
